,Species,Start_Token_Species,End_Token_Species,Start_Index_Species,End_Index_Species,classId_Species,Sentence_Species,inAbstract300_Species,inAbstract500_Species,max_TFISF_Species,Sent_Start_Species,Document,AnnTxtFile,Location,Start_Token_Location,End_Token_Location,Start_Index_Location,End_Index_Location,classId_Location,Sentence_Location,inAbstract300_Location,inAbstract500_Location,max_TFISF_Location,Sent_Start_Location,AnnTxtFile_Location,Tagged_Relationship,Same_Sentence,Num_Tokens_Between,Num_Words_Between,Num_Verbs_Between,Num_Nouns_Between,Num_Preps_Between,Preposition_Between,Dependency_Steps
10,Nostoc spp.,927,930,4488,4499,e_41,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,5.1149953094204985,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,days,1855,1856,7186,7190,e_4,Samples were also taken post-melt (8-10 December) after meltwater had been on the flush for 14 days.,0,0,5.1149953094204985,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,925,699,41,220,47,1,999
11,Nostoc spp.,927,930,4488,4499,e_41,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,5.1149953094204985,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,Canada  Glacier,3364,3367,13235,13250,e_4,"A l t hough  the identification  of  the mites has no t  been  confirmed ,  S t r and t mann  et al. (1973) and  Block  (1985) have  repor t ed  Stereotydeus mollis from  the Canada",1,1,3.505557396986398,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,2434,1687,118,557,171,1,999
12,Nostoc spp.,927,930,4488,4499,e_41,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,5.1149953094204985,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,Howa r d  Glaciers,3453,3458,13538,13556,e_4," flush bu t  have  been  recovered  from  ephe- meral  s t ream  courses  in the lower  Tay l o r  Valley, and  were recovered  from  samples  t aken  from  no r t h  facing slopes between  the Crescen t  and  Howa r d  Glaciers  on  the sou t h",0,0,5.808142489980444,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,2523,1745,124,570,177,1,999
13,Nostoc spp.,927,930,4488,4499,e_41,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,5.1149953094204985,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,Canada  Glacier,3364,3367,13235,13250,e_4,"A l t hough  the identification  of  the mites has no t  been  confirmed ,  S t r and t mann  et al. (1973) and  Block  (1985) have  repor t ed  Stereotydeus mollis from  the Canada",1,1,3.505557396986398,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,2434,1687,118,557,171,1,999
14,Nostoc spp.,927,930,4488,4499,e_41,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,5.1149953094204985,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,Ross Island,4637,4639,17907,17918,e_4,"Dougherty  and Harris (1963) reported microturbellarians in freshwater bodies of Ross Island and Victoria Land, but  emphasized that while nearly all samples of wet algal felt they exam- ined contained populations of rotifers, nematodes and tardigrades, the occurrence of microturbellarians was sporadic.",0,0,4.198704577546343,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,3707,2413,183,785,283,1,999
15,Nostoc spp.,927,930,4488,4499,e_41,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,5.1149953094204985,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,Lake Fryxell,4730,4732,18444,18456,e_4,"Mites were collected from the Lake Fryxell area in 1972 (Strandtmann  et al. 1973), in 1980/81 (Greenfield and Wilson 1981), and in 1984/85 (Block 1985).",0,0,4.709530201312334,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,3800,2484,190,801,292,1,999
16,Nostoc spp.,927,930,4488,4499,e_41,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,5.1149953094204985,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,Canada  Glacier,3364,3367,13235,13250,e_4,"A l t hough  the identification  of  the mites has no t  been  confirmed ,  S t r and t mann  et al. (1973) and  Block  (1985) have  repor t ed  Stereotydeus mollis from  the Canada",1,1,3.505557396986398,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,2434,1687,118,557,171,1,999
17,Nostoc spp.,927,930,4488,4499,e_41,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,5.1149953094204985,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,Taylor  Valley,4885,4888,19209,19223,e_4,The  absence of Collembola at the Canada  Glacier flush was also noted  by Greenfield and Wilson (1981) although they have been collected from northerly  facing slopes and ephemeral melt channels in the Taylor  Valley.,0,0,5.808142489980444,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,3955,2602,199,823,312,1,999
18,Nostoc spp.,927,930,4488,4499,e_41,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,5.1149953094204985,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,Ross Island,4637,4639,17907,17918,e_4,"Dougherty  and Harris (1963) reported microturbellarians in freshwater bodies of Ross Island and Victoria Land, but  emphasized that while nearly all samples of wet algal felt they exam- ined contained populations of rotifers, nematodes and tardigrades, the occurrence of microturbellarians was sporadic.",0,0,4.198704577546343,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,3707,2413,183,785,283,1,999
19,Nostoc spp.,927,930,4488,4499,e_41,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,5.1149953094204985,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,McMu r do  Dry  Valleys,4971,4978,19684,19707,e_4,Block (1985) reported that ar t hropod  activity in the Ross Island/ McMu r do  Dry  Valleys region of southern  Victoria Land was highest at microsites where both  vegetative growth and moisture were present.,0,0,5.1149953094204985,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,4041,2669,206,839,321,1,999
20,Nostoc spp.,927,930,4488,4499,e_41,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,5.1149953094204985,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,Ross  Ice Shelf,5599,5603,22014,22029,e_4,er i a l  ma t s  in ponds  on  the  Ross  Ice Shelf.,0,0,4.709530201312334,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,4669,3004,222,947,351,1,999
21,Nostoc spp.,927,930,4488,4499,e_41,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,5.1149953094204985,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,M c Mu r do  Sound,6317,6324,24250,24268,e_4,A survey  of  terrestrial nema t odes  of  the M c Mu r do  Sound  region  by  Wha r t on  and  B r own  (1989),0,0,4.421848128860553,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,5387,3479,262,1073,400,1,999
22,Nostoc spp.,927,930,4488,4499,e_41,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,5.1149953094204985,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,McMurdo Sound,6662,6664,25633,25646,e_4,"Acta Zool Cracov 27:377-436 Dougherty CC, Harris LG (1963) Antarctic micrometazoa: Fresh- water species in the McMurdo Sound area.",0,0,4.709530201312334,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,5732,3698,266,1141,422,1,999
23,Nostoc spp.,927,930,4488,4499,e_41,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,5.1149953094204985,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,Canada Glacier,7036,7038,27503,27517,e_4,"Academic Press, London, pp 309 331 Schwarz A-MJ, Seppelt R, Green TGA (1992)Terrestrial vegetation at Canada Glacier, southern Victoria Land, Antarctica.",0,0,3.505557396986398,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,6106,3942,266,1172,446,1,999
24,Nostoc spp.,927,930,4488,4499,e_41,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,5.1149953094204985,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,Ross Ice Shelf,7143,7146,28074,28088,e_4,Microfauna associated with algal mats in melt ponds on the Ross Ice Shelf.,0,1,4.709530201312334,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,6213,4016,267,1182,454,1,999
25,Nostoc spp.,927,930,4488,4499,e_41,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,5.1149953094204985,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,McMurdo Sound,6662,6664,25633,25646,e_4,"Acta Zool Cracov 27:377-436 Dougherty CC, Harris LG (1963) Antarctic micrometazoa: Fresh- water species in the McMurdo Sound area.",0,0,4.709530201312334,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,5732,3698,266,1141,422,1,999
26,Nostoc spp.,927,930,4488,4499,e_41,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,5.1149953094204985,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,McMurdo Sound,6662,6664,25633,25646,e_4,"Acta Zool Cracov 27:377-436 Dougherty CC, Harris LG (1963) Antarctic micrometazoa: Fresh- water species in the McMurdo Sound area.",0,0,4.709530201312334,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,5732,3698,266,1141,422,1,999
27,Bryum argenteum,936,938,4530,4545,e_1,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,4.709530201312334,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,Canada Glacier,22,24,165,179,e_4,"Invertebrates associated with moss communities at Canada Glacier, southern Victoria Land, Antarctica

A.-M.J.",0,0,3.505557396986398,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,912,622,54,153,95,1,999
28,Bryum argenteum,936,938,4530,4545,e_1,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,4.709530201312334,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,Canada  Glacier,125,128,668,683,e_4,"The  invertebrate faunal composition  of moss- dom i na t ed  flushes near  the Canada  Glacier was, as in similar habitats in continental Antarctic regions, nu- merically dom",1,1,3.505557396986398,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,808,569,50,150,92,1,999
29,Bryum argenteum,936,938,4530,4545,e_1,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,4.709530201312334,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,Ross Ice Shelf,470,473,2335,2349,e_4,"Aquatic microfaunas have been described from the Vestfold Hills by Everitt (1981), from Signy Island by McInnes and  Ellis-Evans (1990), from melt ponds on the Ross Ice Shelf by Suren (1990) and at Schirmacher Oasis (Ingole and Parulekar  1990).",0,1,4.709530201312334,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,463,335,37,86,57,1,999
30,Bryum argenteum,936,938,4530,4545,e_1,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,4.709530201312334,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,Canada  Glacier,522,525,2598,2613,e_4,"A.-M.J. Schwarz

phyte-dominated  flushes at Canada  Glacier in the lower Tay l or  Valley, southern  Victoria Land.",1,1,3.505557396986398,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,411,302,34,79,50,1,999
31,Bryum argenteum,936,938,4530,4545,e_1,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,4.709530201312334,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,Site of Special Scientific Interest (S.S.S.I) No. 12,578,589,2867,2919,e_4,"The  flushes lie within the Site of Special Scientific Interest (S.S.S.I) No. 12, located on the eastern margin of the lower part of the Canada  Glacier.",0,1,5.1149953094204985,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,347,258,30,63,43,1,999
32,Bryum argenteum,936,938,4530,4545,e_1,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,4.709530201312334,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,Canada  Glacier,601,604,2976,2991,e_4,"The  flushes lie within the Site of Special Scientific Interest (S.S.S.I) No. 12, located on the eastern margin of the lower part of the Canada  Glacier.",1,1,3.505557396986398,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,332,245,29,61,40,1,999
33,Bryum argenteum,936,938,4530,4545,e_1,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,4.709530201312334,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,Canada  Glacier,643,646,3199,3214,e_4,The  site contains areas of rich plant growth associated with the summer melt runoff from the Canada  Glacier.,1,1,3.505557396986398,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,290,211,24,51,33,1,999
34,Bryum argenteum,936,938,4530,4545,e_1,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,4.709530201312334,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,days,1855,1856,7186,7190,e_4,Samples were also taken post-melt (8-10 December) after meltwater had been on the flush for 14 days.,0,0,5.1149953094204985,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,917,693,41,220,47,1,999
35,Bryum argenteum,936,938,4530,4545,e_1,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,4.709530201312334,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,Day,2840,2841,11361,11364,e_4," Day t i me  air t empera t ure  increased  between  15/16 Novembe r  and  22/23 Novembe r  (Fig. 1) and, after 22/23 Novembe r ,  me l t wa t er  became  visible on  the flush itself.",0,0,5.808142489980444,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,1902,1354,96,463,132,1,999
36,Bryum argenteum,936,938,4530,4545,e_1,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,4.709530201312334,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,Site of Special Scientific Interest No. 12,3046,3054,12062,12104,e_4,"Invertebrate taxa from Site of Special Scientific Interest No. 12

",0,0,5.1149953094204985,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,2108,1485,109,506,145,1,999
37,Bryum argenteum,936,938,4530,4545,e_1,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,4.709530201312334,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,days,1855,1856,7186,7190,e_4,Samples were also taken post-melt (8-10 December) after meltwater had been on the flush for 14 days.,0,0,5.1149953094204985,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,917,693,41,220,47,1,999
38,Bryum argenteum,936,938,4530,4545,e_1,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,4.709530201312334,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,Canada  Glacier,3364,3367,13235,13250,e_4,"A l t hough  the identification  of  the mites has no t  been  confirmed ,  S t r and t mann  et al. (1973) and  Block  (1985) have  repor t ed  Stereotydeus mollis from  the Canada",1,1,3.505557396986398,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,2426,1681,118,557,171,1,999
39,Bryum argenteum,936,938,4530,4545,e_1,"Generally the lowest lying ground  dominated  by Nostoc spp. and  other Cyanobacteria, and Bryum argenteum.",0,0,4.709530201312334,0,10.1007_BF00238925.pdf,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,Howa r d  Glaciers,3453,3458,13538,13556,e_4," flush bu t  have  been  recovered  from  ephe- meral  s t ream  courses  in the lower  Tay l o r  Valley, and  were recovered  from  samples  t aken  from  no r t h  facing slopes between  the Crescen t  and  Howa r d  Glaciers  on  the sou t h",0,0,5.808142489980444,0,ExtractedAnnotatedData\Arthropod\10.1007_BF00238925.pdf\10.1007_BF00238925.pdf.txt,0,0,2515,1739,124,570,177,1,999
